sentence,label
She goes to school every day.,1
He does not know the answer.,1
They are playing football in the park.,1
I have finished my homework.,1
The children were laughing loudly.,1
We will visit our grandparents next week.,1
She has been working here for three years.,1
He explained the situation to me clearly.,1
There are many reasons for this decision.,1
I look forward to hearing from you.,1
The information is very useful for us.,1
Each of the students has their own laptop.,1
My friend and I were late for class.,1
She is taller than her brother.,1
He said that he was coming tomorrow.,1
I bought ten apples from the market.,1
The cat is sleeping on the sofa.,1
They have already eaten dinner.,1
Can you help me with this problem?,1
It was raining heavily last night.,1
She writes very neatly in her notebook.,1
We should leave before it gets dark.,1
He has never been to Paris.,1
I am going to the gym this evening.,1
The teacher explained the lesson patiently.,1
She go to school everyday.,0
He dont know the answer.,0
They is playing football in the park.,0
I has finished my homework.,0
The childrens was laughing loudly.,0
We will visited our grandparents next week.,0
She has been work here since three years.,0
He explained me the whole situation.,0
There is many reasons for this decision.,0
I look forward to hear from you.,0
The information is very usefull for us.,0
Each of the students have their own laptop.,0
Me and my friend was late for class.,0
She is more taller than her brother.,0
He said that he is coming tomorrow.,0
I have went to the market yesterday.,0
The cat sleeping on the sofa.,0
They has already eaten dinner.,0
Can you helping me with this problem?,0
It was raining heavily last night since,0
She writes very neat in her notebook.,0
We should left before it gets dark.,0
He has never went to Paris.,0
I am go to the gym this evening.,0
The teacher explain the lesson patiently.,0
This are the best movie I ever watched.,0
